source_id,tweet_id,cluster_id,is_centroid
498430783699554305,498430783699554305_1,0,1
498430783699554305,498430783699554305_2,1,0
498430783699554305,498430783699554305_3,1,1
500378223977721856,500378223977721856_1,0,1
500378223977721856,500378223977721856_4,0,0
500378223977721856,500378223977721856_7,0,0
500378223977721856,500378223977721856_2,1_0,1
500378223977721856,500378223977721856_5,1_0,0
500378223977721856,500378223977721856_2,1_1,0
500378223977721856,500378223977721856_5,1_1,1
500378223977721856,500378223977721856_3,2_0,1
500378223977721856,500378223977721856_6,2_0,0
500378223977721856,500378223977721856_3,2_1,0
500378223977721856,500378223977721856_6,2_1,1
524922729485848576,524922729485848576_1,0,0
524922729485848576,524922729485848576_3,0,0
524922729485848576,524922729485848576_5,0,0
524922729485848576,524922729485848576_6,0,1
524922729485848576,524922729485848576_7,0,0
524922729485848576,524922729485848576_2,1_0,1
524922729485848576,524922729485848576_4,1_0,0
524922729485848576,524922729485848576_2,1_1,0
524922729485848576,524922729485848576_4,1_1,1
524922729485848576,524922729485848576_8,2,0
524922729485848576,524922729485848576_9,2,1
524922729485848576,524922729485848576_10,2,0
524923462398513152,524923462398513152_1,0,1
524923462398513152,524923462398513152_2,0,0
524923462398513152,524923462398513152_5,0,0
524923462398513152,524923462398513152_6,0,0
524923462398513152,524923462398513152_4,1,1
524923462398513152,524923462398513152_3,2,1
524923462398513152,524923462398513152_7,2,0
524923676484177920,524923676484177920_4,0,0
524923676484177920,524923676484177920_5,0,0
524923676484177920,524923676484177920_6,0,1
524923676484177920,524923676484177920_7,0,0
524923676484177920,524923676484177920_3,1,1
524923676484177920,524923676484177920_1,2_0,1
524923676484177920,524923676484177920_2,2_0,0
524923676484177920,524923676484177920_1,2_1,0
524923676484177920,524923676484177920_2,2_1,1
524925050739490816,524925050739490816_1,0,0
524925050739490816,524925050739490816_2,0,0
524925050739490816,524925050739490816_8,0,1
524925050739490816,524925050739490816_3,1,0
524925050739490816,524925050739490816_4,1,1
524925050739490816,524925050739490816_5,1,0
524925050739490816,524925050739490816_9,1,0
524925050739490816,524925050739490816_6,2_0,1
524925050739490816,524925050739490816_7,2_0,0
524925050739490816,524925050739490816_6,2_1,0
524925050739490816,524925050739490816_7,2_1,1
524925215235911680,524925215235911680_1,0_0,1
524925215235911680,524925215235911680_3,0_0,0
524925215235911680,524925215235911680_10,0_0,0
524925215235911680,524925215235911680_12,0_0,0
524925215235911680,524925215235911680_14,0_0,0
524925215235911680,524925215235911680_1,0_1,0
524925215235911680,524925215235911680_3,0_1,0
524925215235911680,524925215235911680_10,0_1,1
524925215235911680,524925215235911680_12,0_1,0
524925215235911680,524925215235911680_14,0_1,0
524925215235911680,524925215235911680_1,0_2,0
524925215235911680,524925215235911680_3,0_2,0
524925215235911680,524925215235911680_10,0_2,0
524925215235911680,524925215235911680_12,0_2,1
524925215235911680,524925215235911680_14,0_2,0
524925215235911680,524925215235911680_1,0_3,0
524925215235911680,524925215235911680_3,0_3,0
524925215235911680,524925215235911680_10,0_3,0
524925215235911680,524925215235911680_12,0_3,0
524925215235911680,524925215235911680_14,0_3,1
524925215235911680,524925215235911680_2,1,0
524925215235911680,524925215235911680_4,1,0
524925215235911680,524925215235911680_7,1,0
524925215235911680,524925215235911680_8,1,0
524925215235911680,524925215235911680_9,1,1
524925215235911680,524925215235911680_15,1,0
524925215235911680,524925215235911680_5,2,0
524925215235911680,524925215235911680_6,2,1
524925215235911680,524925215235911680_11,2,0
524925215235911680,524925215235911680_13,2,0
524925987239120897,524925987239120897_3,0,1
524925987239120897,524925987239120897_2,1_0,1
524925987239120897,524925987239120897_4,1_0,0
524925987239120897,524925987239120897_2,1_1,0
524925987239120897,524925987239120897_4,1_1,1
524925987239120897,524925987239120897_1,2,1
524926235030589440,524926235030589440_1,0_0,1
524926235030589440,524926235030589440_2,0_0,0
524926235030589440,524926235030589440_1,0_1,0
524926235030589440,524926235030589440_2,0_1,1
524926235030589440,524926235030589440_3,1,1
524926235030589440,524926235030589440_4,2,1
524931324763992064,524931324763992064_3,0,1
524931324763992064,524931324763992064_1,1_0,1
524931324763992064,524931324763992064_4,1_0,0
524931324763992064,524931324763992064_1,1_1,0
