source_id,tweet_id,cluster_id,is_centroid
91728807081426944,91728807081426944_1,0,0
91728807081426944,91728807081426944_8,0,1
91728807081426944,91728807081426944_13,0,0
91728807081426944,91728807081426944_14,0,0
91728807081426944,91728807081426944_2,1,1
91728807081426944,91728807081426944_3,1,0
91728807081426944,91728807081426944_11,1,0
91728807081426944,91728807081426944_12,1,0
91728807081426944,91728807081426944_18,1,0
91728807081426944,91728807081426944_5,2,0
91728807081426944,91728807081426944_9,2,0
91728807081426944,91728807081426944_17,2,1
91728807081426944,91728807081426944_6,3_0,1
91728807081426944,91728807081426944_7,3_0,0
91728807081426944,91728807081426944_6,3_1,0
91728807081426944,91728807081426944_7,3_1,1
91728807081426944,91728807081426944_4,4,0
91728807081426944,91728807081426944_10,4,1
91728807081426944,91728807081426944_15,4,0
91728807081426944,91728807081426944_16,4,0
265953285247209472,265953285247209472_3,0,0
265953285247209472,265953285247209472_4,0,0
265953285247209472,265953285247209472_5,0,0
265953285247209472,265953285247209472_6,0,0
265953285247209472,265953285247209472_9,0,0
265953285247209472,265953285247209472_10,0,0
265953285247209472,265953285247209472_12,0,0
265953285247209472,265953285247209472_13,0,0
265953285247209472,265953285247209472_18,0,0
265953285247209472,265953285247209472_19,0,0
265953285247209472,265953285247209472_20,0,0
265953285247209472,265953285247209472_22,0,0
265953285247209472,265953285247209472_23,0,0
265953285247209472,265953285247209472_24,0,0
265953285247209472,265953285247209472_27,0,0
265953285247209472,265953285247209472_30,0,1
265953285247209472,265953285247209472_33,0,0
265953285247209472,265953285247209472_38,0,0
265953285247209472,265953285247209472_11,1,1
265953285247209472,265953285247209472_16,1,0
265953285247209472,265953285247209472_25,1,0
265953285247209472,265953285247209472_39,1,0
265953285247209472,265953285247209472_1,2,0
265953285247209472,265953285247209472_2,2,0
265953285247209472,265953285247209472_7,2,0
265953285247209472,265953285247209472_8,2,0
265953285247209472,265953285247209472_15,2,0
265953285247209472,265953285247209472_17,2,0
265953285247209472,265953285247209472_21,2,1
265953285247209472,265953285247209472_28,2,0
265953285247209472,265953285247209472_29,2,0
265953285247209472,265953285247209472_32,2,0
265953285247209472,265953285247209472_34,2,0
265953285247209472,265953285247209472_35,2,0
265953285247209472,265953285247209472_37,2,0
265953285247209472,265953285247209472_40,2,0
265953285247209472,265953285247209472_41,2,0
265953285247209472,265953285247209472_14,3,0
265953285247209472,265953285247209472_26,3,1
265953285247209472,265953285247209472_31,3,0
265953285247209472,265953285247209472_36,4,1
273182568298450945,273182568298450945_2,0_0,1
273182568298450945,273182568298450945_4,0_0,0
273182568298450945,273182568298450945_2,0_1,0
273182568298450945,273182568298450945_4,0_1,1
273182568298450945,273182568298450945_1,1,1
273182568298450945,273182568298450945_3,2,1
273182568298450945,273182568298450945_6,3,1
273182568298450945,273182568298450945_5,4_0,1
273182568298450945,273182568298450945_7,4_0,0
273182568298450945,273182568298450945_5,4_1,0
273182568298450945,273182568298450945_7,4_1,1
273278761909239808,273278761909239808_2,0,0
273278761909239808,273278761909239808_3,0,1
273278761909239808,273278761909239808_1,1,1
295152287901417472,295152287901417472_1,0,1
295152287901417472,295152287901417472_3,1_0,1
295152287901417472,295152287901417472_4,1_0,0
295152287901417472,295152287901417472_3,1_1,0
295152287901417472,295152287901417472_4,1_1,1
295152287901417472,295152287901417472_6,2,1
295152287901417472,295152287901417472_2,3,1
295152287901417472,295152287901417472_5,3,0
295152287901417472,295152287901417472_7,4_0,1
295152287901417472,295152287901417472_8,4_0,0
295152287901417472,295152287901417472_7,4_1,0
295152287901417472,295152287901417472_8,4_1,1
295944137948151809,295944137948151809_6,0,1
295944137948151809,295944137948151809_15,1_0,1
295944137948151809,295944137948151809_41,1_0,0
295944137948151809,295944137948151809_15,1_1,0
295944137948151809,295944137948151809_41,1_1,1
295944137948151809,295944137948151809_2,2,0
295944137948151809,295944137948151809_4,2,0
295944137948151809,295944137948151809_5,2,0
295944137948151809,295944137948151809_8,2,0
295944137948151809,295944137948151809_12,2,0
295944137948151809,295944137948151809_13,2,0
295944137948151809,295944137948151809_18,2,0
295944137948151809,295944137948151809_20,2,1
295944137948151809,295944137948151809_24,2,0
295944137948151809,295944137948151809_35,2,0
295944137948151809,295944137948151809_38,2,0
295944137948151809,295944137948151809_1,3,0
295944137948151809,295944137948151809_9,3,0
295944137948151809,295944137948151809_14,3,0
295944137948151809,295944137948151809_16,3,0
295944137948151809,295944137948151809_23,3,0
295944137948151809,295944137948151809_26,3,0
295944137948151809,295944137948151809_32,3,1
295944137948151809,295944137948151809_34,3,0
295944137948151809,295944137948151809_46,3,0
295944137948151809,295944137948151809_54,3,0
295944137948151809,295944137948151809_3,4_0,0
295944137948151809,295944137948151809_7,4_0,0
295944137948151809,295944137948151809_10,4_0,0
295944137948151809,295944137948151809_11,4_0,0
295944137948151809,295944137948151809_17,4_0,0
295944137948151809,295944137948151809_19,4_0,0
295944137948151809,295944137948151809_21,4_0,0
295944137948151809,295944137948151809_22,4_0,0
295944137948151809,295944137948151809_25,4_0,0
295944137948151809,295944137948151809_27,4_0,0
295944137948151809,295944137948151809_28,4_0,0
295944137948151809,295944137948151809_29,4_0,0
295944137948151809,295944137948151809_30,4_0,0
295944137948151809,295944137948151809_31,4_0,0
295944137948151809,295944137948151809_33,4_0,0
295944137948151809,295944137948151809_36,4_0,0
