source_id,all summary
91728807081426944,@Lil_Eazy_Ana and @Peyton_
265953285247209472,@chrissyteigen wants to go to the party.
273182568298450945,Onion is one of the people who died on Friday.
273278761909239808,Onion is dead on Twitter.
295152287901417472,@godsgirl is following me.
295944137948151809,There is a picture of a woman saving a man's life.
318263294098030593,A photo of a black nurse saving the life of a KKK member has been shared by Earth.
319166636902998016,A photo of black nurses saving the life of a KKK member has gone viral.
326137285450018817,A photo of black nurses saving the life of a KKK member has been shared by WildestFacts.
334722003057647616,Stephen Fry thinks it's a hoax.
336873759271157760,Allen West wants to know why he is not getting his salary.
336913656921083904,The Fort Hood shooter has been paid a salary of 278$ since the massacre.
348203818741272576,"The IRS sent $46,000 in unpaid taxes to Talkmaster."
348204426659508226,"The IRS sent $46,000 in unpaid taxes to E.Erickson."
348209998565879810,Paula has been offered a cooking show on the new Fox News Channel.
351767344097398785,Alex wants to know what is going on.
352075672543428608,Paula filed a discrimination suit in time for her new book.
356268980211687424,There is no evidence to support the claim.
356297080169447425,Obama files federal charges against George Zimmerman.
356310469390245888,The following is a list of current events.
356407105953071107,The Department of Justice files charges against George Zimmerman.
356437941641416705,Zimmerman has been charged with violating Trayvon's civil rights.
357299879070023680,Roycelr advises people not to buy Koch's products.
357300409292959744,Zimmerman has filed a civil suit against Sande.
358591089462099968,George Zimmerman won the Florida Lottery.
364383457545162754,Radioactive water is seeping into the ocean from Japan's crippled Fukushima nuclear plant.
364589696573124609,YourAnon is talking about the radioactivity.
365052155385749505,Fukushima has been leaking radioactive water for 2 years.
365056836476481537,There is a problem with contaminated water.
365276206381268995,"Fukushima nuclear plant is leaking 80,000 gallons of radioactive water into the ocean daily."
365497016098369536,Water leaks at Fukushima could contaminate the Pacific Ocean.
366025766183514112,The Fukushima Daiichi nuclear power plant is leaking radioactive water every day.
366205297557110784,The temperature has risen above freezing.
369506008172740608,The Fukushima Daiichi nuclear power plant is leaking 300 tons of radioactive water every day.
370855596050108416,Radioactive groundwater is seeping into the Pacific Ocean.
372489152903643136,Jesse is in a state of emergency.
372901260183494656,There is a leak in the water.
372914976102834176,YourAnon wants to know if there is a problem with radiation in the US.
376874273601630208,Lord_Voldemort is working on an eighth Harry Potter book.
376982539132366848,J.K. Rowling is working on an eighth Harry Potter book.
377002232257855488,J.K. Rowling is working on an eighth Harry Potter book.
377519445578895360,@jk_rowling wants Frankie to follow him.
380055172896272384,A city in Louisiana has made twerking illegal.
380140114552188928,Tweerking in Louisiana is a crime punishable by up to 30 days in jail.
386682163862986752,There's a joke on Twitter about Muslims being paid for their beliefs.
386998038004113409,The website has been shut down.
387006553124896768,Wilson is angry at Obama for shutting down the internet.
387006700609228801,Amber Alert website goes dark under government shutdown.
387007120689737729,Jason wants to shut down the Amber website.
387009577763360768,Amber Alert goes dark under government shutdown.
387010299536355328,The White House is shutting down.
387021726007042051,Obama is not the one who stands for freedom.
387030572779847680,@th3j35t3r wants to know why the website is not working.
387031585834278912,Ace of Spades has gone offline due to the current situation.
387041762331471872,Pambesteder's website is down.
387050178932654080,Joseph and Dan are angry at the president.
387220814531395584,The NBC News website is down.
