source_id,all_0 summary,all_1 summary,all_2 summary,all_3 summary
91728807081426944,@Lil_Eazy is on Twitter.,@Lil_Eazy is on Twitter.,@Lil_Eazy is on Twitter.,Lil_Eazy is on Twitter.
265953285247209472,@chrissyteigen wants to go to a party.,@chrissyteigen will be there in 10 minutes.,@chrissyteigen wants to come to the party.,@chrissyteigen is having a bad day.
273182568298450945,Onion is the name of a bird.,Onion is real. Onion is dead.,"According to Wikipedia, it's true.","According to Wikipedia, it is:"
273278761909239808,There is no cure for cancer.,"It's okay, it's good.",There is no such thing as a free lunch.,(http://www.washingtonpost.com/
295152287901417472,"""I love you so much.""",Theresa is a freelance journalist.,"""I love you very much.""",@lemongella is on Twitter.
295944137948151809,@ArenaOfPictures is a picture of a woman in a bad state.,The nurse saved the life of a KKK member.,Nurses saved the life of a KKK member.,There are pictures of black nurses saving the life of a KKK member.
318263294098030593,There is a photo of a black nurse saving the life of a KKK member.,There is a photo of a black nurse saving the life of a KKK member.,There is a photo of a black nurse saving the life of a KKK member.,There is a photo of black nurses saving the life of a KKK member.
319166636902998016,A photo of black nurses saving the life of a KKK member went viral.,There's a photo of a man saving someone's life.,A photo of black nurses saving the life of a black person.,A photo of a black nurse saved a man's life.
326137285450018817,A photo of black nurses saving the life of a KKK member has been shared by WildestFacts.,A photo of black nurses saving the life of a KKK member has been shared by WildestFacts.,A photo of black nurses saving the life of a KKK member has been shared by WildestFacts.,A photo of black nurses saving the life of a KKK member has been shared by WildestFacts.
334722003057647616,Stephen Fry thinks it's a hoax.,Elvis and Stephen Fry are discussing a hoax involving a man and a woman.,Stephen Fry's neighbour's name is Bertil.,Stephen Fry thinks it's a hoax.
336873759271157760,Allen West wants to know why he is not getting his salary.,"According to Allen West, the money should be used for the victims.",Allen West wants the government to give back the money to the victims.,Allen West wants to send the money to the Red Cross.
336913656921083904,The Fort Hood shooter has been paid a salary of 278$ since the massacre.,"The Fort Hood shooter has been paid $278,000 since the massacre.",The Fort Hood shooter has been paid a salary of $ 278G since the massacre.,The Fort Hood shooter has been paid a salary of $ 278G since the massacre.
348203818741272576,There is a problem with the database.,@cgs_atl is a Twitter account.,The post was sent by cgs.,The email address is claus@cgs.
348204426659508226,The IRS is auditing my family.,It looks like Erikson has found a way to avoid paying taxes.,Erickson is waiting for a refund.,Erickson wants to share his money with others.
348209998565879810,"There's a new show on TV called ""Tea"".",There's a lot of food on the Internet.,There is no such thing as too much information.,There's a lot of food on the Internet.
351767344097398785,Alex is making fun of me.,Alex is getting crazier every day.,Alex wants to know if Obama is going to meet with Putin.,Hank follows @RealAlex on Twitter.
352075672543428608,Paula filed a discrimination suit.,Melissa thinks it's not funny.,Paula wants to have her new book dismissed.,"The name of the book is ""How to Cook""."
356268980211687424,The writer is a freelance journalist.,This article is copyrighted by Kidnobee.,There is no such thing as fake news.,Munish is a writer.
356297080169447425,Victoria filed a complaint against George Zimmerman.,Victoria filed a complaint against George Zimmerman.,Reese has filed a complaint against George.,Reese is the president of
356310469390245888,It's not as simple as it seems.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
356407105953071107,Barack Obama has filed a complaint against Ken Burns.,The charges against Barack Obama are not true.,Barack Obama has not filed any charges.,Barack Obama has filed a complaint against Kenny Burn.
356437941641416705,It has nothing to do with religion.,It's not what you think it is.,A complaint has been filed against George Zimmerman.,A lawsuit has been filed against George Zimmerman.
357299879070023680,Roy is going to buy something.,There is no such thing as a free lunch.,The rule of law only applies to those who can afford it.,This article is not suitable for children.
357300409292959744,There was a fight between two men.,There's a lot of information on the Internet.,The evidence is not in his favour.,There is no evidence to support the rumor.
358591089462099968,Onion is the winner of this week's lottery.,Onion has won the lottery.,Onion is the name of a book.,"It's not over yet, but it's coming."
364383457545162754,The Fukushima Daiichi nuclear power plant is leaking radioactive water into the ocean.,The Fukushima Daiichi nuclear plant is leaking radioactive water into the ocean.,The Fukushima Daiichi nuclear power plant is leaking radioactive water into the sea.,The Fukushima Daiichi nuclear power plant is leaking radioactive water.
364589696573124609,YourAnon is the source of information about the new movie.,YourAnon shares a link to a video.,YourAnon wants to know if there is a solution to the problem.,There are 17 new types of radioactivity.
365052155385749505,The water has been leaking into the Pacific for two years.,There's a leak in the water.,The water is leaking into the Pacific.,There's a lot happening in the world right now.
